voicebank_id,wav,alias,wav_norm,alias_norm,occurrence_index,line_index,source_oto_id,source_row_id,selector_group_id,selector_rank_label,selector_is_best,selector_quality_score,selector_error_weighted,selector_error_offset,selector_error_cons,selector_error_cutoff,selector_error_pre,selector_error_ovl,language,format_type,alias_type,alias_group,candidate_mode,candidate_index,mapping_confidence,jump_blocked_flag,used_alias_based_syllables,used_nuclei_fallback,words_vs_alias_score_margin,wav_duration_ms,expected_anchor_ms,base_offset_to_expected_ms,base_pre_to_expected_ms,base_cutoff_to_next_anchor_ms,prev_phone_gap_ms,next_phone_gap_ms,energy_mean,db_silence_ratio,local_peak_db,local_valley_db,mel_window_energy_mean,mel_window_silence_ratio,coda_type,vowel_class,bridge_type,mora_position,onset_class,voicing_class,mapping_reason_code,prev_alias_type,next_alias_type,cand_offset,cand_cons,cand_cutoff_abs,cand_pre,cand_ovl,cand_pre_abs,cand_cons_gap,cand_cut_gap,cand_ovl_ratio,cand_offset_to_expected_ms,cand_pre_to_expected_ms,cand_cutoff_to_next_anchor_ms,cand_delta_from_base_total,cand_delta_from_base_anchor,cand_overlap_margin,cand_pre_cons_margin,cand_leak_risk
Anonymous VB - JP CV,か.wav,か,か,ka,0,0,98a43eab0eae8078,98a43eab0eae8078:0,Anonymous VB - JP CV|98a43eab0eae8078:0,6,1,-322.30850000000004,322.30850000000004,22.450000000000045,149.69000000000003,23.41999999999996,71.685,146.45999999999998,japanese,cv,cv,cv_plosive,ja_cv_hold,5.0,0.6515954199897755,0.0,1.0,0.0,123.58500000000001,1360.0,590.0,-64.14999999999998,106.20000000000005,0.0,0.0,0.0,0.9832618922054467,0.0,-12.895910947413425,-14.431596628540062,0.9832618922054467,0.0,none,a,,head,plosive,voiceless,unknown,,,525.85,301.16,908.1,153.315,134.67,679.165,147.84500000000003,606.94,0.878387633303982,-64.14999999999998,89.16499999999996,0.0,17.034999999999997,17.035000000000082,18.64500000000001,147.84500000000003,0.0
Anonymous VB - JP CV,か.wav,か,か,ka,0,0,98a43eab0eae8078,98a43eab0eae8078:0,Anonymous VB - JP CV|98a43eab0eae8078:0,5,0,-329.80390000000006,329.80390000000006,22.450000000000045,149.69000000000003,23.41999999999996,78.499,146.45999999999998,japanese,cv,cv,cv_plosive,cv_guard,4.0,0.6515954199897755,0.0,1.0,0.0,123.58500000000001,1360.0,590.0,-64.14999999999998,106.20000000000005,0.0,0.0,0.0,0.9832618922054467,0.0,-12.895910947413425,-14.431596628540062,0.9832618922054467,0.0,none,a,,head,plosive,voiceless,unknown,,,525.85,301.16,908.1,160.129,134.67,685.979,141.03100000000003,606.94,0.8410094361421104,-64.14999999999998,95.97900000000004,0.0,10.221000000000004,10.221000000000004,25.459000000000003,141.03100000000003,0.0
Anonymous VB - JP CV,か.wav,か,か,ka,0,0,98a43eab0eae8078,98a43eab0eae8078:0,Anonymous VB - JP CV|98a43eab0eae8078:0,4,0,-330.15700000000004,330.15700000000004,22.450000000000045,149.69000000000003,23.41999999999996,78.82,146.45999999999998,japanese,cv,cv,cv_plosive,anchor_tight,2.0,0.6515954199897755,0.0,1.0,0.0,123.58500000000001,1360.0,590.0,-64.14999999999998,106.20000000000005,0.0,0.0,0.0,0.9832618922054467,0.0,-12.895910947413425,-14.431596628540062,0.9832618922054467,0.0,none,a,,head,plosive,voiceless,unknown,,,525.85,301.16,908.1,160.45,134.67,686.3,140.71000000000004,606.94,0.8393268931131194,-64.14999999999998,96.29999999999995,0.0,9.900000000000006,9.900000000000091,25.78,140.71000000000004,0.0
Anonymous VB - JP CV,か.wav,か,か,ka,0,0,98a43eab0eae8078,98a43eab0eae8078:0,Anonymous VB - JP CV|98a43eab0eae8078:0,3,0,-337.19700000000006,337.19700000000006,22.450000000000045,149.69000000000003,23.41999999999996,85.22,146.45999999999998,japanese,cv,cv,cv_plosive,anchor_soft,1.0,0.6515954199897755,0.0,1.0,0.0,123.58500000000001,1360.0,590.0,-64.14999999999998,106.20000000000005,0.0,0.0,0.0,0.9832618922054467,0.0,-12.895910947413425,-14.431596628540062,0.9832618922054467,0.0,none,a,,head,plosive,voiceless,unknown,,,525.85,301.16,908.1,166.85,134.67,692.7,134.31000000000003,606.94,0.8071321546299071,-64.14999999999998,102.70000000000005,0.0,3.5,3.5,32.18000000000001,134.31000000000003,0.0
Anonymous VB - JP CV,か.wav,か,か,ka,0,0,98a43eab0eae8078,98a43eab0eae8078:0,Anonymous VB - JP CV|98a43eab0eae8078:0,2,0,-337.2993,337.2993,22.450000000000045,149.69000000000003,23.41999999999996,85.31299999999999,146.45999999999998,japanese,cv,cv,cv_plosive,next_safe,3.0,0.6515954199897755,0.0,1.0,0.0,123.58500000000001,1360.0,590.0,-64.14999999999998,106.20000000000005,0.0,0.0,0.0,0.9832618922054467,0.0,-12.895910947413425,-14.431596628540062,0.9832618922054467,0.0,none,a,,head,plosive,voiceless,unknown,,,525.85,301.16,908.1,166.94299999999998,134.67,692.793,134.21700000000004,606.94,0.8066825203812079,-64.14999999999998,102.793,0.0,3.4070000000000107,3.407000000000039,32.272999999999996,134.21700000000004,0.0
Anonymous VB - JP CV,か.wav,か,か,ka,0,0,98a43eab0eae8078,98a43eab0eae8078:0,Anonymous VB - JP CV|98a43eab0eae8078:0,1,0,-341.0470000000001,341.0470000000001,22.450000000000045,149.69000000000003,23.41999999999996,88.72,146.45999999999998,japanese,cv,cv,cv_plosive,base,0.0,0.6515954199897755,0.0,1.0,0.0,123.58500000000001,1360.0,590.0,-64.14999999999998,106.20000000000005,0.0,0.0,0.0,0.9832618922054467,0.0,-12.895910947413425,-14.431596628540062,0.9832618922054467,0.0,none,a,,head,plosive,voiceless,unknown,,,525.85,301.16,908.1,170.35,134.67,696.2,130.81000000000003,606.94,0.7905488699735838,-64.14999999999998,106.20000000000005,0.0,0.0,0.0,35.68000000000001,130.81000000000003,0.0
Anonymous VB - JP CV,き.wav,き,き,ki,0,1,98a43eab0eae8078,98a43eab0eae8078:1,Anonymous VB - JP CV|98a43eab0eae8078:1,6,1,-329.27779999999996,329.27779999999996,85.11999999999995,82.53,19.519999999999982,48.37300000000002,179.94,japanese,cv,cv,cv_plosive,ja_cv_hold,5.0,0.755955318712363,0.0,1.0,0.0,96.943,1280.0,620.0,-30.57000000000005,155.19999999999993,0.0,0.0,0.0,0.7353224178928617,0.0,-14.401558791477994,-14.964572993814906,0.7353224178928617,0.0,none,i,,head,plosive,voiceless,unknown,,,589.43,319.26,995.49,167.193,148.19,756.6229999999999,152.06699999999998,676.23,0.8863409353262397,-30.57000000000005,136.62299999999993,0.0,18.576999999999998,18.576999999999998,19.003000000000014,152.06699999999998,0.0
Anonymous VB - JP CV,き.wav,き,き,ki,0,1,98a43eab0eae8078,98a43eab0eae8078:1,Anonymous VB - JP CV|98a43eab0eae8078:1,5,0,-337.45167999999995,337.45167999999995,85.11999999999995,82.53,19.519999999999982,55.803799999999995,179.94,japanese,cv,cv,cv_plosive,cv_guard,4.0,0.755955318712363,0.0,1.0,0.0,96.943,1280.0,620.0,-30.57000000000005,155.19999999999993,0.0,0.0,0.0,0.7353224178928617,0.0,-14.401558791477994,-14.964572993814906,0.7353224178928617,0.0,none,i,,head,plosive,voiceless,unknown,,,589.43,319.26,995.49,174.6238,148.19,764.0537999999999,144.6362,676.23,0.8486242997804423,-30.57000000000005,144.0537999999999,0.0,11.146200000000022,11.146200000000022,26.43379999999999,144.6362,0.0
Anonymous VB - JP CV,き.wav,き,き,ki,0,1,98a43eab0eae8078,98a43eab0eae8078:1,Anonymous VB - JP CV|98a43eab0eae8078:1,4,0,-338.82249999999993,338.82249999999993,85.11999999999995,82.53,19.519999999999982,57.05000000000001,179.94,japanese,cv,cv,cv_plosive,anchor_tight,2.0,0.755955318712363,0.0,1.0,0.0,96.943,1280.0,620.0,-30.57000000000005,155.19999999999993,0.0,0.0,0.0,0.7353224178928617,0.0,-14.401558791477994,-14.964572993814906,0.7353224178928617,0.0,none,i,,head,plosive,voiceless,unknown,,,589.43,319.26,995.49,175.87,148.19,765.3,143.39,676.23,0.842611019503042,-30.57000000000005,145.29999999999995,0.0,9.900000000000006,9.899999999999977,27.680000000000007,143.39,0.0
Anonymous VB - JP CV,き.wav,き,き,ki,0,1,98a43eab0eae8078,98a43eab0eae8078:1,Anonymous VB - JP CV|98a43eab0eae8078:1,3,0,-345.62555999999995,345.62555999999995,85.11999999999995,82.53,19.519999999999982,63.2346,179.94,japanese,cv,cv,cv_plosive,next_safe,3.0,0.755955318712363,0.0,1.0,0.0,96.943,1280.0,620.0,-30.57000000000005,155.19999999999993,0.0,0.0,0.0,0.7353224178928617,0.0,-14.401558791477994,-14.964572993814906,0.7353224178928617,0.0,none,i,,head,plosive,voiceless,unknown,,,589.43,319.26,995.49,182.0546,148.19,771.4846,137.2054,676.23,0.8139865732587916,-30.57000000000005,151.4846,0.0,3.7154000000000167,3.7153999999999314,33.864599999999996,137.2054,0.0
