voicebank_id,wav,alias,wav_norm,alias_norm,occurrence_index,line_index,source_oto_id,source_row_id,selector_group_id,selector_rank_label,selector_is_best,selector_quality_score,selector_error_weighted,selector_error_offset,selector_error_cons,selector_error_cutoff,selector_error_pre,selector_error_ovl,language,format_type,alias_type,alias_group,candidate_mode,candidate_index,mapping_confidence,jump_blocked_flag,used_alias_based_syllables,used_nuclei_fallback,words_vs_alias_score_margin,wav_duration_ms,expected_anchor_ms,base_offset_to_expected_ms,base_pre_to_expected_ms,base_cutoff_to_next_anchor_ms,prev_phone_gap_ms,next_phone_gap_ms,energy_mean,db_silence_ratio,local_peak_db,local_valley_db,mel_window_energy_mean,mel_window_silence_ratio,coda_type,vowel_class,bridge_type,mora_position,onset_class,voicing_class,mapping_reason_code,prev_alias_type,next_alias_type,cand_offset,cand_cons,cand_cutoff_abs,cand_pre,cand_ovl,cand_pre_abs,cand_cons_gap,cand_cut_gap,cand_ovl_ratio,cand_offset_to_expected_ms,cand_pre_to_expected_ms,cand_cutoff_to_next_anchor_ms,cand_delta_from_base_total,cand_delta_from_base_anchor,cand_overlap_margin,cand_pre_cons_margin,cand_leak_risk
Hwi JP_VCV,_ああいあうえあ.wav,- あ,ああいあうえあ,- a,0,0,b984a884c70fc809,b984a884c70fc809:0,Hwi JP_VCV|b984a884c70fc809:0,6,1,-276.4914999999998,276.4914999999998,17.980000000000018,74.81,189.73999999999978,3.3100000000000023,14.52,japanese,vcv,cv_head,cv_head_other,base,0.0,0.7890581000367916,0.0,0.0,0.0,-10.133999999999993,5905.714285714285,1160.0,-101.33999999999992,3.2899999999999636,719.6999999999998,0.0,30.0,0.7544344111081133,0.11320754716981132,-27.430682317572835,-52.32912126082147,0.7544344111081133,0.11320754716981132,none,a,,head,other,unknown,unknown,,,1058.66,261.75,1390.3000000000002,104.63,42.46,1163.29,157.12,1128.5500000000002,0.40581095288158275,-101.33999999999992,3.2899999999999636,719.6999999999998,0.0,0.0,62.169999999999995,157.12,0.0
Hwi JP_VCV,_ああいあうえあ.wav,- あ,ああいあうえあ,- a,0,0,b984a884c70fc809,b984a884c70fc809:0,Hwi JP_VCV|b984a884c70fc809:0,5,0,-277.3962499999998,277.3962499999998,17.980000000000018,74.81,189.73999999999978,4.132499999999993,14.52,japanese,vcv,cv_head,cv_head_other,anchor_soft,1.0,0.7890581000367916,0.0,0.0,0.0,-10.133999999999993,5905.714285714285,1160.0,-101.33999999999992,3.2899999999999636,719.6999999999998,0.0,30.0,0.7544344111081133,0.11320754716981132,-27.430682317572835,-52.32912126082147,0.7544344111081133,0.11320754716981132,none,a,,head,other,unknown,unknown,,,1058.66,261.75,1390.3000000000002,103.8075,42.46,1162.4675000000002,157.9425,1128.5500000000002,0.4090263227608795,-101.33999999999992,2.4675000000002,719.6999999999998,0.8224999999999909,0.8224999999997635,61.347500000000004,157.9425,0.0
Hwi JP_VCV,_ああいあうえあ.wav,- あ,ああいあうえあ,- a,0,0,b984a884c70fc809,b984a884c70fc809:0,Hwi JP_VCV|b984a884c70fc809:0,4,0,-278.12004999999976,278.12004999999976,17.980000000000018,74.81,189.73999999999978,4.79049999999998,14.52,japanese,vcv,cv_head,cv_head_other,anchor_tight,2.0,0.7890581000367916,0.0,0.0,0.0,-10.133999999999993,5905.714285714285,1160.0,-101.33999999999992,3.2899999999999636,719.6999999999998,0.0,30.0,0.7544344111081133,0.11320754716981132,-27.430682317572835,-52.32912126082147,0.7544344111081133,0.11320754716981132,none,a,,head,other,unknown,unknown,,,1058.66,261.75,1390.3000000000002,103.14950000000002,42.46,1161.8095,158.60049999999998,1128.5500000000002,0.41163553870837954,-101.33999999999992,1.809500000000071,719.6999999999998,1.480499999999978,1.4804999999998927,60.68950000000002,158.60049999999998,0.0
Hwi JP_VCV,_ああいあうえあ.wav,- あ,ああいあうえあ,- a,0,0,b984a884c70fc809,b984a884c70fc809:0,Hwi JP_VCV|b984a884c70fc809:0,3,0,-278.7933599999998,278.7933599999998,17.980000000000018,74.81,189.73999999999978,5.402600000000007,14.52,japanese,vcv,cv_head,cv_head_other,next_safe,3.0,0.7890581000367916,0.0,0.0,0.0,-10.133999999999993,5905.714285714285,1160.0,-101.33999999999992,3.2899999999999636,719.6999999999998,0.0,30.0,0.7544344111081133,0.11320754716981132,-27.430682317572835,-52.32912126082147,0.7544344111081133,0.11320754716981132,none,a,,head,other,unknown,unknown,,,1058.66,261.75,1390.3000000000002,102.53739999999999,42.46,1161.1974,159.2126,1128.5500000000002,0.4140928090628396,-101.33999999999992,1.197400000000016,719.6999999999998,2.0926000000000045,2.0925999999999476,60.07739999999999,159.2126,0.0
Hwi JP_VCV,_ああいあうえあ.wav,- あ,ああいあうえあ,- a,0,0,b984a884c70fc809,b984a884c70fc809:0,Hwi JP_VCV|b984a884c70fc809:0,2,0,-283.3970799999998,283.3970799999998,17.980000000000018,74.81,189.73999999999978,9.587800000000001,14.52,japanese,vcv,cv_head,cv_head_other,cv_guard,4.0,0.7890581000367916,0.0,0.0,0.0,-10.133999999999993,5905.714285714285,1160.0,-101.33999999999992,3.2899999999999636,719.6999999999998,0.0,30.0,0.7544344111081133,0.11320754716981132,-27.430682317572835,-52.32912126082147,0.7544344111081133,0.11320754716981132,none,a,,head,other,unknown,unknown,,,1058.66,261.75,1390.3000000000002,98.3522,42.46,1157.0122000000001,163.39780000000002,1128.5500000000002,0.43171377966125823,-101.33999999999992,-2.987799999999879,719.6999999999998,6.277799999999999,6.277799999999843,55.892199999999995,163.39780000000002,0.0
Hwi JP_VCV,_ああいあうえあ.wav,- あ,ああいあうえあ,- a,0,0,b984a884c70fc809,b984a884c70fc809:0,Hwi JP_VCV|b984a884c70fc809:0,1,0,-284.5480099999998,284.5480099999998,17.980000000000018,74.81,189.73999999999978,10.634100000000004,14.52,japanese,vcv,cv_head,cv_head_other,ja_vcv_cv_hold,5.0,0.7890581000367916,0.0,0.0,0.0,-10.133999999999993,5905.714285714285,1160.0,-101.33999999999992,3.2899999999999636,719.6999999999998,0.0,30.0,0.7544344111081133,0.11320754716981132,-27.430682317572835,-52.32912126082147,0.7544344111081133,0.11320754716981132,none,a,,head,other,unknown,unknown,,,1058.66,261.75,1390.3000000000002,97.3059,42.46,1155.9659000000001,164.4441,1128.5500000000002,0.4363558633135298,-101.33999999999992,-4.034099999999853,719.6999999999998,7.324100000000001,7.324099999999817,54.84589999999999,164.4441,0.0
Hwi JP_VCV,_ああいあうえあ.wav,a い,ああいあうえあ,a i,0,2,b984a884c70fc809,b984a884c70fc809:2,Hwi JP_VCV|b984a884c70fc809:2,6,1,-399.08033999999986,399.08033999999986,62.190000000000055,46.93000000000001,219.7199999999998,59.79939999999999,15.420000000000002,japanese,vcv,vv,vv,next_safe,3.0,0.7494159101594514,0.0,0.0,0.0,-16.502,5905.714285714285,2150.0,-165.01999999999998,1.5100000000002183,379.0999999999999,0.0,0.0,0.5522360246714453,0.0,-21.670229939532124,-23.41497379429226,0.5522360246714453,0.0,none,i,vv,mid,other,unknown,unknown,vv,,1984.98,250.33,2310.9,163.1994,63.49,2148.1794,87.13060000000002,2060.57,0.3890332930145577,-165.01999999999998,-1.820600000000013,379.0999999999999,3.330600000000004,3.3306000000002314,99.70939999999999,87.13060000000002,0.0
Hwi JP_VCV,_ああいあうえあ.wav,a い,ああいあうえあ,a i,0,2,b984a884c70fc809,b984a884c70fc809:2,Hwi JP_VCV|b984a884c70fc809:2,5,0,-401.9965499999998,401.9965499999998,62.190000000000055,46.93000000000001,219.7199999999998,62.45049999999989,15.420000000000002,japanese,vcv,vv,vv,anchor_tight,2.0,0.7494159101594514,0.0,0.0,0.0,-16.502,5905.714285714285,2150.0,-165.01999999999998,1.5100000000002183,379.0999999999999,0.0,0.0,0.5522360246714453,0.0,-21.670229939532124,-23.41497379429226,0.5522360246714453,0.0,none,i,vv,mid,other,unknown,unknown,vv,,1984.98,250.33,2310.9,165.8504999999999,63.49,2150.8305,84.47950000000012,2060.57,0.3828146433082809,-165.01999999999998,0.8305000000000291,379.0999999999999,0.6795000000001039,0.6795000000001892,102.36049999999989,84.47950000000012,0.0
Hwi JP_VCV,_ああいあうえあ.wav,a い,ああいあうえあ,a i,0,2,b984a884c70fc809,b984a884c70fc809:2,Hwi JP_VCV|b984a884c70fc809:2,4,0,-402.32874999999984,402.32874999999984,62.190000000000055,46.93000000000001,219.7199999999998,62.75249999999994,15.420000000000002,japanese,vcv,vv,vv,anchor_soft,1.0,0.7494159101594514,0.0,0.0,0.0,-16.502,5905.714285714285,2150.0,-165.01999999999998,1.5100000000002183,379.0999999999999,0.0,0.0,0.5522360246714453,0.0,-21.670229939532124,-23.41497379429226,0.5522360246714453,0.0,none,i,vv,mid,other,unknown,unknown,vv,,1984.98,250.33,2310.9,166.15249999999995,63.49,2151.1325,84.17750000000007,2060.57,0.3821188366109449,-165.01999999999998,1.1325000000001637,379.0999999999999,0.37750000000005457,0.37750000000005457,102.66249999999994,84.17750000000007,0.0
Hwi JP_VCV,_ああいあうえあ.wav,a い,ああいあうえあ,a i,0,2,b984a884c70fc809,b984a884c70fc809:2,Hwi JP_VCV|b984a884c70fc809:2,3,0,-402.74399999999986,402.74399999999986,62.190000000000055,46.93000000000001,219.7199999999998,63.129999999999995,15.420000000000002,japanese,vcv,vv,vv,base,0.0,0.7494159101594514,0.0,0.0,0.0,-16.502,5905.714285714285,2150.0,-165.01999999999998,1.5100000000002183,379.0999999999999,0.0,0.0,0.5522360246714453,0.0,-21.670229939532124,-23.41497379429226,0.5522360246714453,0.0,none,i,vv,mid,other,unknown,unknown,vv,,1984.98,250.33,2310.9,166.53,63.49,2151.51,83.80000000000001,2060.57,0.3812526271542665,-165.01999999999998,1.5100000000002183,379.0999999999999,0.0,0.0,103.03999999999999,83.80000000000001,0.0
