voicebank_id,wav,alias,wav_norm,alias_norm,occurrence_index,line_index,source_oto_id,source_row_id,selector_group_id,selector_rank_label,selector_is_best,selector_quality_score,selector_error_weighted,selector_error_offset,selector_error_cons,selector_error_cutoff,selector_error_pre,selector_error_ovl,language,format_type,alias_type,alias_group,candidate_mode,candidate_index,mapping_confidence,jump_blocked_flag,used_alias_based_syllables,used_nuclei_fallback,words_vs_alias_score_margin,wav_duration_ms,expected_anchor_ms,base_offset_to_expected_ms,base_pre_to_expected_ms,base_cutoff_to_next_anchor_ms,prev_phone_gap_ms,next_phone_gap_ms,energy_mean,db_silence_ratio,local_peak_db,local_valley_db,mel_window_energy_mean,mel_window_silence_ratio,coda_type,vowel_class,bridge_type,mora_position,onset_class,voicing_class,mapping_reason_code,prev_alias_type,next_alias_type,cand_offset,cand_cons,cand_cutoff_abs,cand_pre,cand_ovl,cand_pre_abs,cand_cons_gap,cand_cut_gap,cand_ovl_ratio,cand_offset_to_expected_ms,cand_pre_to_expected_ms,cand_cutoff_to_next_anchor_ms,cand_delta_from_base_total,cand_delta_from_base_anchor,cand_overlap_margin,cand_pre_cons_margin,cand_leak_risk
Mr. WAISELY KOR 연단음,aR.wav,a,ar,a,0,3,5c963ca96fe0800d,5c963ca96fe0800d:3,Mr. WAISELY KOR 연단음|5c963ca96fe0800d:3,7,1,-478.1596799999998,478.1596799999998,220.27999999999997,100.97999999999999,103.11999999999989,15.3738,4.670000000000002,korean,cv,mono,mono,cv_guard,4.0,0.8235768538098324,0.0,1.0,0.0,4.307000000000005,2285.714285714286,760.0,-56.92999999999995,-10.659999999999968,82.80999999999995,0.0,0.0,0.37620024924431733,0.3469387755102041,-47.59838905675002,-79.63492268244094,0.37620024924431733,0.3469387755102041,none,a,,mid,other,unknown,unknown,vc,,703.07,146.1,957.19,43.4938,14.45,746.5638,102.6062,811.09,0.3322312605474803,-56.92999999999995,-13.436199999999985,82.80999999999995,2.776200000000003,2.776200000000017,29.0438,102.6062,0.0
Mr. WAISELY KOR 연단음,aR.wav,a,ar,a,0,3,5c963ca96fe0800d,5c963ca96fe0800d:3,Mr. WAISELY KOR 연단음|5c963ca96fe0800d:3,6,0,-478.6686499999998,478.6686499999998,220.27999999999997,100.97999999999999,103.11999999999989,15.836499999999997,4.670000000000002,korean,cv,mono,mono,kr_cv_hold,5.0,0.8235768538098324,0.0,1.0,0.0,4.307000000000005,2285.714285714286,760.0,-56.92999999999995,-10.659999999999968,82.80999999999995,0.0,0.0,0.37620024924431733,0.3469387755102041,-47.59838905675002,-79.63492268244094,0.37620024924431733,0.3469387755102041,none,a,,mid,other,unknown,unknown,vc,,703.07,146.1,957.19,43.9565,14.45,747.0265,102.14349999999999,811.09,0.32873408938382265,-56.92999999999995,-12.973499999999945,82.80999999999995,2.3135000000000048,2.3134999999999764,29.5065,102.14349999999999,0.0
Mr. WAISELY KOR 연단음,aR.wav,a,ar,a,0,3,5c963ca96fe0800d,5c963ca96fe0800d:3,Mr. WAISELY KOR 연단음|5c963ca96fe0800d:3,5,0,-480.19555999999983,480.19555999999983,220.27999999999997,100.97999999999999,103.11999999999989,17.2246,4.670000000000002,korean,cv,mono,mono,next_safe,3.0,0.8235768538098324,0.0,1.0,0.0,4.307000000000005,2285.714285714286,760.0,-56.92999999999995,-10.659999999999968,82.80999999999995,0.0,0.0,0.37620024924431733,0.3469387755102041,-47.59838905675002,-79.63492268244094,0.37620024924431733,0.3469387755102041,none,a,,mid,other,unknown,unknown,vc,,703.07,146.1,957.19,45.3446,14.45,748.4146000000001,100.7554,811.09,0.31867080093329747,-56.92999999999995,-11.585399999999936,82.80999999999995,0.9254000000000033,0.9253999999999678,30.8946,100.7554,0.0
Mr. WAISELY KOR 연단음,aR.wav,a,ar,a,0,3,5c963ca96fe0800d,5c963ca96fe0800d:3,Mr. WAISELY KOR 연단음|5c963ca96fe0800d:3,4,0,-481.21349999999984,481.21349999999984,220.27999999999997,100.97999999999999,103.11999999999989,18.150000000000002,4.670000000000002,korean,cv,mono,mono,base,0.0,0.8235768538098324,0.0,1.0,0.0,4.307000000000005,2285.714285714286,760.0,-56.92999999999995,-10.659999999999968,82.80999999999995,0.0,0.0,0.37620024924431733,0.3469387755102041,-47.59838905675002,-79.63492268244094,0.37620024924431733,0.3469387755102041,none,a,,mid,other,unknown,unknown,vc,,703.07,146.1,957.19,46.27,14.45,749.34,99.82999999999998,811.09,0.3122973849146315,-56.92999999999995,-10.659999999999968,82.80999999999995,0.0,0.0,31.820000000000004,99.82999999999998,0.0
Mr. WAISELY KOR 연단음,aR.wav,a,ar,a,0,3,5c963ca96fe0800d,5c963ca96fe0800d:3,Mr. WAISELY KOR 연단음|5c963ca96fe0800d:3,3,0,-484.1449999999998,484.1449999999998,220.27999999999997,100.97999999999999,103.11999999999989,20.814999999999994,4.670000000000002,korean,cv,mono,mono,anchor_soft,1.0,0.8235768538098324,0.0,1.0,0.0,4.307000000000005,2285.714285714286,760.0,-56.92999999999995,-10.659999999999968,82.80999999999995,0.0,0.0,0.37620024924431733,0.3469387755102041,-47.59838905675002,-79.63492268244094,0.37620024924431733,0.3469387755102041,none,a,,mid,other,unknown,unknown,vc,,703.07,146.1,957.19,48.934999999999995,14.45,752.005,97.16499999999999,811.09,0.2952896699703689,-56.92999999999995,-7.9950000000000045,82.80999999999995,2.664999999999992,2.6649999999999636,34.485,97.16499999999999,0.0
Mr. WAISELY KOR 연단음,aR.wav,a,ar,a,0,3,5c963ca96fe0800d,5c963ca96fe0800d:3,Mr. WAISELY KOR 연단음|5c963ca96fe0800d:3,2,0,-485.3175999999998,485.3175999999998,220.27999999999997,100.97999999999999,103.11999999999989,21.88099999999999,4.670000000000002,korean,cv,mono,mono,kr_cv_anchor,6.0,0.8235768538098324,0.0,1.0,0.0,4.307000000000005,2285.714285714286,760.0,-56.92999999999995,-10.659999999999968,82.80999999999995,0.0,0.0,0.37620024924431733,0.3469387755102041,-47.59838905675002,-79.63492268244094,0.37620024924431733,0.3469387755102041,none,a,,mid,other,unknown,unknown,vc,,703.07,146.1,957.19,50.00099999999999,14.45,753.071,96.099,811.09,0.2889942201155977,-56.92999999999995,-6.928999999999974,82.80999999999995,3.7309999999999874,3.7309999999999945,35.55099999999999,96.099,0.0
Mr. WAISELY KOR 연단음,aR.wav,a,ar,a,0,3,5c963ca96fe0800d,5c963ca96fe0800d:3,Mr. WAISELY KOR 연단음|5c963ca96fe0800d:3,1,0,-486.4901999999998,486.4901999999998,220.27999999999997,100.97999999999999,103.11999999999989,22.946999999999985,4.670000000000002,korean,cv,mono,mono,anchor_tight,2.0,0.8235768538098324,0.0,1.0,0.0,4.307000000000005,2285.714285714286,760.0,-56.92999999999995,-10.659999999999968,82.80999999999995,0.0,0.0,0.37620024924431733,0.3469387755102041,-47.59838905675002,-79.63492268244094,0.37620024924431733,0.3469387755102041,none,a,,mid,other,unknown,unknown,vc,,703.07,146.1,957.19,51.066999999999986,14.45,754.1370000000001,95.03300000000002,811.09,0.2829615994673665,-56.92999999999995,-5.862999999999943,82.80999999999995,4.796999999999983,4.7970000000000255,36.61699999999999,95.03300000000002,0.0
Mr. WAISELY KOR 연단음,ba.wav,ba,ba,ba,0,5,5c963ca96fe0800d,5c963ca96fe0800d:5,Mr. WAISELY KOR 연단음|5c963ca96fe0800d:5,7,1,-331.97574000000026,331.97574000000026,52.770000000000095,92.36,99.58000000000015,56.97339999999999,67.19,korean,cv,cv,cv,cv_guard,4.0,0.8296054427417401,0.0,1.0,0.0,60.489,2971.4285714285716,1070.0,-95.11000000000001,7.0,0.0,0.0,0.0,0.7233621197250931,0.0,-21.784375341269655,-37.92339065267682,0.7233621197250931,0.0,none,a,,head,plosive,voiced,unknown,,,974.89,201.37,1243.74,95.98339999999999,74.45,1070.8734,105.38660000000002,1042.37,0.7756549570029819,-95.11000000000001,0.8733999999999469,0.0,6.1266000000000105,6.126600000000053,21.533399999999986,105.38660000000002,0.0
Mr. WAISELY KOR 연단음,ba.wav,ba,ba,ba,0,5,5c963ca96fe0800d,5c963ca96fe0800d:5,Mr. WAISELY KOR 연단음|5c963ca96fe0800d:5,6,0,-333.0989500000003,333.0989500000003,52.770000000000095,92.36,99.58000000000015,57.994499999999995,67.19,korean,cv,cv,cv,kr_cv_hold,5.0,0.8296054427417401,0.0,1.0,0.0,60.489,2971.4285714285716,1070.0,-95.11000000000001,7.0,0.0,0.0,0.0,0.7233621197250931,0.0,-21.784375341269655,-37.92339065267682,0.7233621197250931,0.0,none,a,,head,plosive,voiced,unknown,,,974.89,201.37,1243.74,97.0045,74.45,1071.8944999999999,104.36550000000001,1042.37,0.7674901679818978,-95.11000000000001,1.89449999999988,0.0,5.105500000000006,5.10550000000012,22.55449999999999,104.36550000000001,0.0
Mr. WAISELY KOR 연단음,ba.wav,ba,ba,ba,0,5,5c963ca96fe0800d,5c963ca96fe0800d:5,Mr. WAISELY KOR 연단음|5c963ca96fe0800d:5,5,0,-335.2500000000003,335.2500000000003,52.770000000000095,92.36,99.58000000000015,59.949999999999996,67.19,korean,cv,cv,cv,anchor_tight,2.0,0.8296054427417401,0.0,1.0,0.0,60.489,2971.4285714285716,1070.0,-95.11000000000001,7.0,0.0,0.0,0.0,0.7233621197250931,0.0,-21.784375341269655,-37.92339065267682,0.7233621197250931,0.0,none,a,,head,plosive,voiced,unknown,,,974.89,201.37,1243.74,98.96,74.45,1073.85,102.41000000000001,1042.37,0.7523241713823768,-95.11000000000001,3.849999999999909,0.0,3.1500000000000057,3.150000000000091,24.50999999999999,102.41000000000001,0.0
