voicebank_id,wav,alias,wav_norm,alias_norm,occurrence_index,line_index,source_oto_id,source_row_id,mel_patch_key,mel_patch_debug_key,mel_onset_anchor_ms,mel_tail_anchor_ms,mel_patch_source,language,format_type,alias_type,alias_group,row_index_in_wav,row_ratio_in_wav,file_row_count,file_cv_count,file_vc_count,file_vv_count,file_vcv_count,file_br_count,file_mono_count,file_cv_ratio,file_vc_ratio,file_vc_cv_ratio,file_cv_vc_balance,file_mean_energy,file_voiced_ratio,file_mean_syllable_dur_ms,is_head_row,is_tail_row,wav_duration_ms,base_offset,base_cons,base_cutoff_abs,base_pre,base_ovl,base_cons_gap,base_cut_gap,base_ovl_ratio,curr_phone_start_ms,curr_phone_end_ms,curr_phone_len_ms,curr_vowel_start_ms,curr_vowel_end_ms,curr_vowel_len_ms,syllable_start_ms,syllable_end_ms,syllable_len_ms,prev_phone_gap_ms,next_phone_gap_ms,expected_anchor_ms,base_offset_to_expected_ms,base_pre_to_expected_ms,base_cutoff_to_next_anchor_ms,energy_mean,energy_min,energy_max,energy_slope_pre,energy_slope_post,valley_energy,valley_dist_from_cutoff_ms,db_mean,db_min,db_silence_ratio,f0_voicing_mean,f0_voicing_near_pre,zcr_mean,spectral_flux_mean,onset_class,voicing_class,is_tense,is_diphthong,coda_type,vowel_class,mora_position,bridge_type,is_nasal_or_sonorant,prev_alias_type,next_alias_type,prev_base_pre,next_base_pre,prev_base_offset,next_base_offset,prev_base_cutoff_abs,next_base_cutoff_abs,mapping_confidence,used_alias_occurrence_mapping,used_exact_vowel_fix,used_nuclei_fallback,used_alias_based_syllables,words_vs_alias_score_margin,jump_blocked_flag,mapping_reason_code,local_peak_db,local_valley_db,mel_window_energy_mean,mel_window_silence_ratio,mel_voiced_formant_ratio,mel_silence_sparse_ratio,mel_unvoiced_diffuse_ratio,mel_breath_like_ratio,blank_span_confidence,mel_offset_candidate_ms,mel_cutoff_candidate_ms,mel_voiced_onset_ms,mel_vowel_nucleus_start_ms,mel_vowel_nucleus_end_ms,mel_voiced_onset_to_pre_ms,mel_safety_clamped,onset_patch_energy_mean,onset_patch_voiced_ratio,onset_patch_unvoiced_ratio,tail_patch_energy_mean,tail_patch_silence_ratio,syllable_blank_confidence,syllable_mel_voiced_conf,syllable_mel_silence_conf,syllable_mel_unvoiced_conf,syllable_mel_breath_conf,manual_offset,manual_cons,manual_cutoff,manual_pre,manual_ovl,delta_offset,delta_cons,delta_cutoff,delta_pre,delta_ovl,aux_vowel_start_rel,aux_vowel_end_rel,aux_next_onset_rel,label_source,sample_weight,blank_risk_score,blank_risk_flag,train_keep_default,train_skip_reason,train_quality_score,skipped_reason,__source_dataset_csv
Mr. WAISELY KOR 연단음,aR.wav,a,ar,a,0,3,86a42fd94aad4926,86a42fd94aad4926:3,korean|cv|mr. waisely kor 연단음|ar|a|0|1,Mr. WAISELY KOR 연단음 | aR.wav | a | a | occ=0 | row=1,768.05,871.3199999999999,mel_candidate,korean,cv,mono,mono,1.0,0.5,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.0,0.1809759746079541,0.2466960352422907,280.0,0.0,0.0,2285.714285714286,760.39,100.93,871.3199999999999,15.66,0.0,85.27000000000001,10.0,0.0,760.0,1040.0,280.0,760.0,1040.0,280.0,760.0,1050.0,290.0,0.0,0.0,760.0,0.3899999999999863,16.049999999999955,168.68000000000006,0.1384281447175083,0.0014617820167216,0.5156352853928714,0.0029548739336882,0.1619486775446574,0.0014617820167216,108.0546938775509,-50.35769206274997,-65.30206545553705,0.3181818181818182,0.0505435329481896,0.0067691418729525,0.0905547226386806,0.0346225857837048,other,unknown,0.0,0.0,none,a,mid,,0.0,vc,cv_head,177.05,64.11,935.15,821.32,1221.86,985.15,0.9964074997864364,1.0,0.0,0.0,1.0,9.961000000000002,0.0,unknown,-50.35769206274997,-65.30206545553705,0.1384281447175083,0.3181818181818182,0.5454545454545454,0.3181818181818182,0.0,0.0,0.0249999999999999,768.05,871.3199999999999,0.0,0.0,0.0,0.0,0.0,0.0098004769619585,0.2,0.0,0.3923327005352366,0.0416666666666666,0.7999999999999999,0.0,1.0,0.0,0.0,923.35,45.12,-136.96,28.12,19.12,162.96000000000004,-55.81000000000001,188.99,12.46,19.12,-163.35000000000002,116.64999999999998,116.64999999999998,manual,0.917200086681535,0.5618181818181818,1,1,,91.852,,C:\Users\oyh57\SODAsoo1\Devs\UTAU_Auto_OTO_v3\Auto_OTO\ml_workspace\datasets\korean\dataset_korean_cv.csv
Mr. WAISELY KOR 연단음,eR.wav,e,er,e,0,101,86a42fd94aad4926,86a42fd94aad4926:101,korean|cv|mr. waisely kor 연단음|er|e|0|1,Mr. WAISELY KOR 연단음 | eR.wav | e | e | occ=0 | row=1,525.81,636.05,mel_candidate,korean,cv,mono,mono,1.0,0.5,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.0,0.1850923215552275,0.2026431718061674,420.0,0.0,0.0,2285.714285714286,525.81,100.24,636.05,13.12,0.0,87.11999999999999,10.0,0.0,520.0,940.0,420.0,520.0,940.0,420.0,520.0,1030.0,510.0,0.0,0.0,520.0,5.809999999999945,18.92999999999995,303.95000000000005,0.7670370713316498,0.3333084767861799,1.0,0.6002164094430595,0.2243085727340356,0.3333084767861799,107.25181405895682,-38.72132852652226,-44.1074777004473,0.0,0.9951073637114052,0.7419466194258847,0.0331988830282345,0.044430833377583,other,unknown,0.0,0.0,none,e,mid,,0.0,vc,cv_head,237.81,64.11,686.54,586.05,1042.81,736.54,1.0,1.0,0.0,0.0,1.0,89.41900000000001,0.0,unknown,-38.72132852652226,-44.1074777004473,0.7670370713316498,0.0,0.0,0.0,0.0,0.0,0.0,525.81,636.05,523.8095238095239,573.6961451247165,743.3106575963719,15.120476190476095,0.0,0.3563306871485226,0.0,0.0,0.906217109103046,0.0,0.0,0.0,0.0,0.0,0.0,615.87,34.96,-181.41,19.95,10.95,90.06000000000006,-65.28,161.23000000000002,6.83,10.95,-95.87,324.13,324.13,manual,0.95497,0.0,0,1,,95.497,,C:\Users\oyh57\SODAsoo1\Devs\UTAU_Auto_OTO_v3\Auto_OTO\ml_workspace\datasets\korean\dataset_korean_cv.csv
Mr. WAISELY KOR 연단음,eui.wav,eui,eui,eui,0,103,86a42fd94aad4926,86a42fd94aad4926:103,korean|cv|mr. waisely kor 연단음|eui|eui|0|0,Mr. WAISELY KOR 연단음 | eui.wav | eui | eui | occ=0 | row=0,501.8321995464853,814.81,mel_candidate,korean,cv,mono,mono,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.4756573061679791,0.5402061855670103,1300.0,1.0,1.0,2438.095238095238,520.98,154.29,814.81,26.85,0.0,127.44,139.54,0.0,540.0,560.0,20.0,560.0,1860.0,1300.0,540.0,1860.0,1320.0,0.0,0.0,560.0,-39.01999999999998,-12.16999999999996,-254.81,0.885983114345164,0.1542454241740464,1.0,0.6015935048372214,0.2854155038505412,0.1542454241740464,291.0004761904761,-24.14436121644845,-38.91263183799877,0.0,0.9746701422966026,0.7034486447344392,0.0283527076835837,0.0192915264707521,other,unknown,0.0,1.0,none,eui,head,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,16.098000000000003,0.0,unknown,-24.14436121644845,-38.91263183799877,0.885983114345164,0.0,0.3559322033898305,0.0,0.0,0.0,0.0,501.8321995464853,814.81,613.6054421768707,613.6054421768707,688.4353741496599,-65.77544217687068,0.0,0.3996366687619356,0.05,0.0,0.8903647993246183,0.0,0.0,0.0,0.0,0.0,0.0,529.71,97.96,-280.27,9.98,2.98,8.730000000000018,-56.33,-4.829999999999927,-16.87,2.98,30.289999999999964,1330.29,30.289999999999964,manual,0.991565,0.0,0,1,,99.1565,,C:\Users\oyh57\SODAsoo1\Devs\UTAU_Auto_OTO_v3\Auto_OTO\ml_workspace\datasets\korean\dataset_korean_cv.csv
Mr. WAISELY KOR 연단음,euR.wav,eu,eur,eu,0,109,86a42fd94aad4926,86a42fd94aad4926:109,korean|cv|mr. waisely kor 연단음|eur|eu|0|2,Mr. WAISELY KOR 연단음 | euR.wav | eu | eu | occ=0 | row=2,888.0,1136.2,mel_candidate,korean,cv,mono,mono,2.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.0,0.1814630843879547,0.2320328542094455,300.0,0.0,1.0,2448.9795918367345,888.0,238.13,1136.2,149.7,71.81,88.43,10.069999999999991,0.4796927187708751,760.0,1300.0,540.0,0.0,0.0,0.0,760.0,1360.0,600.0,0.0,0.0,760.0,128.0,277.70000000000005,163.79999999999995,0.8734949400530316,0.646430434792573,1.0,-0.045417840871573,-0.1281109911598806,0.646430434792573,3.773696145124859,-32.28711649735281,-36.44538344654547,0.0,1.0,1.0,0.0184292599943294,0.0177597922288751,other,unknown,0.0,0.0,none,eu,tail,,0.0,vc,,167.13,0.0,1345.37,0.0,1622.16,0.0,0.2873494940053032,1.0,0.0,1.0,1.0,587.2,0.0,unknown,-32.28711649735281,-36.44538344654547,0.8734949400530316,0.0,0.0,0.0,0.0,0.0,0.0,888.0,1136.2,957.8231292517008,957.8231292517008,1107.4829931972788,79.87687074829932,0.0,0.9634334326550376,0.0,0.0,0.7095740365490353,0.0,0.0,0.0,0.0,0.0,0.0,838.55,56.29,-157.82,31.29,22.29,-49.450000000000045,-181.84,-139.83000000000015,-118.41,-49.52,0.0,0.0,461.4500000000001,manual,0.6726117868850876,0.0,0,1,,94.0795,,C:\Users\oyh57\SODAsoo1\Devs\UTAU_Auto_OTO_v3\Auto_OTO\ml_workspace\datasets\korean\dataset_korean_cv.csv
Mr. WAISELY KOR 연단음,iR.wav,i,ir,i,0,171,86a42fd94aad4926,86a42fd94aad4926:171,korean|cv|mr. waisely kor 연단음|ir|i|0|1,Mr. WAISELY KOR 연단음 | iR.wav | i | i | occ=0 | row=1,1526.26,1590.3945578231292,mel_candidate,korean,cv,mono,mono,1.0,0.5,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.0,0.1396737500681006,0.2529960053262317,149.99999999999991,0.0,0.0,3765.986394557823,1526.26,92.8,1629.06,25.75,0.0,67.05,10.0,0.0,1570.0,1720.0,150.0,1570.0,1720.0,150.0,1570.0,2300.0,730.0,0.0,0.0,1570.0,-43.74000000000001,-17.99000000000001,90.94000000000004,0.0899288864862486,4.691029737002107e-06,0.7725945299747253,6.782448092063912e-05,0.1735578051171831,4.691029737002107e-06,102.52938775510188,-65.86265443071659,-89.99176091846154,0.6190476190476191,0.0560824402871687,0.0,0.0592571590586901,0.0386294919472494,other,unknown,0.0,0.0,none,i,mid,,0.0,vc,cv_head,167.13,64.11,1696.45,1579.06,2114.0,1746.4499999999998,0.5591888593445955,1.0,0.0,0.0,1.0,575.626,0.0,unknown,-65.86265443071659,-89.99176091846154,0.0899288864862486,0.6190476190476191,0.0476190476190476,0.6190476190476191,0.0,0.0,0.5047619047619047,1526.26,1590.3945578231292,0.0,0.0,0.0,0.0,0.0,0.000689932404245,0.0,0.0,0.4107231897942742,0.3333333333333333,0.7999999999999999,0.0,1.0,0.0,0.0,1696.14,83.45,-121.54,31.75,19.05,169.8800000000001,-9.349999999999994,188.6200000000001,6.0,19.05,-126.1400000000001,23.8599999999999,23.8599999999999,manual,0.7537125430527463,0.7676190476190475,1,1,,91.506,,C:\Users\oyh57\SODAsoo1\Devs\UTAU_Auto_OTO_v3\Auto_OTO\ml_workspace\datasets\korean\dataset_korean_cv.csv
Mr. WAISELY KOR 연단음,oR.wav,o,or,o,0,346,86a42fd94aad4926,86a42fd94aad4926:346,korean|cv|mr. waisely kor 연단음|or|o|0|1,Mr. WAISELY KOR 연단음 | oR.wav | o | o | occ=0 | row=1,633.89,720.24,mel_candidate,korean,cv,mono,mono,1.0,0.5,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.0,0.1540178615949232,0.2699386503067484,210.0,0.0,0.0,2459.863945578232,633.89,76.35,720.24,4.66,0.0,71.69,10.0,0.0,630.0,840.0,210.0,630.0,840.0,210.0,630.0,1300.0,670.0,0.0,0.0,630.0,3.8899999999999855,8.549999999999955,119.76,0.6794835533113213,0.0127824674773373,1.0,0.0876313816533656,0.8104991391310217,0.0127824674773373,81.6912471655329,-38.67101276291072,-57.16878039647657,0.0,0.8815510748934978,0.3147706697809437,0.0242020343739038,0.0617010957826664,other,unknown,0.0,0.0,none,o,mid,,0.0,vc,cv_head,167.13,64.11,767.22,670.24,1184.77,817.22,1.0,1.0,0.0,0.0,1.0,459.611,0.0,unknown,-38.67101276291072,-57.16878039647657,0.6794835533113213,0.0,0.0,0.0,0.0,0.0,0.0,633.89,720.24,648.5260770975057,668.4807256235828,868.0272108843537,-9.976077097505708,0.0,0.1718072508369382,0.0,0.0,0.8141015807839636,0.0,0.7999999999999999,0.0,1.0,0.0,0.0,783.67,58.05,-87.98,19.95,10.95,149.77999999999997,-18.3,151.40999999999997,15.29,10.95,-153.66999999999996,56.33000000000004,56.33000000000004,manual,0.92511,0.58,1,1,,92.511,,C:\Users\oyh57\SODAsoo1\Devs\UTAU_Auto_OTO_v3\Auto_OTO\ml_workspace\datasets\korean\dataset_korean_cv.csv
Mr. WAISELY KOR 연단음,uR.wav,u,ur,u,0,468,86a42fd94aad4926,86a42fd94aad4926:468,korean|cv|mr. waisely kor 연단음|ur|u|0|1,Mr. WAISELY KOR 연단음 | uR.wav | u | u | occ=0 | row=1,892.83,969.32,mel_candidate,korean,cv,mono,mono,1.0,0.5,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.0,0.1553159598776458,0.2865497076023391,150.00000000000003,0.0,0.0,2579.591836734694,892.83,66.49,969.32,5.09,0.0,61.39999999999999,10.0,0.0,890.0,1040.0,150.0,890.0,1040.0,150.0,890.0,1420.0,530.0,0.0,0.0,890.0,2.830000000000041,7.920000000000073,70.67999999999995,0.8862702567385181,0.3136697309699385,1.0,0.720533972076286,0.1944894565697651,0.3136697309699385,76.34947845804993,-33.55497242255252,-41.960250745828105,0.0,0.9643495960326252,0.4839302860537916,0.0170731707317073,0.0457553512686707,other,unknown,0.0,0.0,none,u,mid,,0.0,vc,cv_head,167.13,65.2,1017.9,919.32,1435.45,1067.9,1.0,1.0,0.0,0.0,1.0,379.717,0.0,unknown,-33.55497242255252,-41.960250745828105,0.8862702567385181,0.0,0.0,0.0,0.0,0.0,0.0,892.83,969.32,887.9818594104308,902.9478458049888,1107.4829931972788,9.93814058956923,0.0,0.3985633115426161,0.0,0.0,0.924180171159012,0.0,0.0,0.0,0.0,0.0,0.0,1023.13,45.58,-119.73,23.58,14.58,130.29999999999995,-20.91,173.53999999999985,18.49,14.58,-133.13,16.870000000000005,16.870000000000005,manual,0.93485,0.0,0,1,,93.485,,C:\Users\oyh57\SODAsoo1\Devs\UTAU_Auto_OTO_v3\Auto_OTO\ml_workspace\datasets\korean\dataset_korean_cv.csv
Mr. WAISELY KOR 연단음,wa.wav,wa,wa,wa,0,470,86a42fd94aad4926,86a42fd94aad4926:470,korean|cv|mr. waisely kor 연단음|wa|wa|0|0,Mr. WAISELY KOR 연단음 | wa.wav | wa | wa | occ=0 | row=0,526.7755102040817,738.89,mel_candidate,korean,cv,mono,mono,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.5,0.5,0.4615655883631139,0.5526881720430108,1210.0,1.0,0.0,2340.1360544217687,543.05,185.84,738.89,35.89,1.5,149.95,10.0,0.0417943716912789,530.0,630.0,100.0,630.0,1840.0,1210.0,530.0,1840.0,1310.0,0.0,0.0,630.0,-86.95000000000005,-51.06000000000006,-108.89,0.7707452347018767,0.0303987208992708,1.0,0.2658494647314487,0.2882200802939589,0.0303987208992708,195.12582766439905,-23.726602945796184,-39.141164206430254,0.0,0.8714728286761501,0.6165811822762268,0.0334561950666288,0.0272002640647947,other,unknown,0.0,1.0,none,wa,head,,0.0,,cv_head,0.0,99.11,0.0,688.89,0.0,996.65,0.6962668311624949,1.0,1.0,0.0,1.0,91.305,0.0,unknown,-23.726602945796184,-39.141164206430254,0.7707452347018767,0.0,0.1,0.0,0.0,0.0,0.0,526.7755102040817,738.89,603.6281179138322,603.6281179138322,618.59410430839,-24.68811791383223,0.0,0.399085399056625,0.25,0.0,0.9855740645488456,0.0,0.7999999999999999,0.0,1.0,0.0,0.0,559.64,196.83,-324.3,42.63,19.05,16.590000000000032,10.990000000000007,145.05000000000007,6.740000000000002,17.55,70.36000000000001,1280.36,70.36000000000001,manual,0.8712195191192009,0.5579999999999999,1,1,,99.1705,,C:\Users\oyh57\SODAsoo1\Devs\UTAU_Auto_OTO_v3\Auto_OTO\ml_workspace\datasets\korean\dataset_korean_cv.csv
Mr. WAISELY KOR 연단음,we.wav,we,we,we,0,473,86a42fd94aad4926,86a42fd94aad4926:473,korean|cv|mr. waisely kor 연단음|we|we|0|0,Mr. WAISELY KOR 연단음 | we.wav | we | we | occ=0 | row=0,758.46,954.24,mel_candidate,korean,cv,mono,mono,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.5,0.5,0.3740928875156109,0.4813499111900532,1270.0,1.0,0.0,2829.931972789116,712.32,231.92,954.24,54.14,5.11,177.77999999999997,10.0,0.0943849279645363,630.0,830.0,200.0,830.0,2100.0,1270.0,630.0,2100.0,1470.0,0.0,0.0,830.0,-117.67999999999996,-63.53999999999997,-124.24,0.7231399857150105,0.0713280924826578,0.934527947336869,0.3449671463535237,0.2679513573060105,0.0713280924826578,225.89532879818591,-25.33820029698442,-41.80819631978756,0.0,0.9688159451500722,0.9865319786745872,0.0289197618372554,0.0255808398122062,other,unknown,0.0,1.0,none,we,head,,0.0,,cv_head,0.0,189.0,0.0,634.0,0.0,975.02,0.5279293831868858,1.0,1.0,0.0,1.0,188.232,0.0,unknown,-25.33820029698442,-41.80819631978756,0.7231399857150105,0.0,0.1739130434782608,0.0,0.0,0.0,0.0,758.46,954.24,788.2086167800453,788.2086167800453,823.1292517006802,-21.748616780045268,0.0,0.338752588351163,0.2,0.0,0.8991087489249017,0.0,0.7999999999999999,0.0,1.0,0.0,0.0,738.32,112.47,-233.45,34.47,25.47,26.0,-119.45,17.529999999999973,-19.67,20.36,91.67999999999996,1361.6799999999998,91.67999999999996,manual,0.8006265204821825,0.5417391304347826,0,1,,98.7,,C:\Users\oyh57\SODAsoo1\Devs\UTAU_Auto_OTO_v3\Auto_OTO\ml_workspace\datasets\korean\dataset_korean_cv.csv
Mr. WAISELY KOR 연단음,weo.wav,weo,weo,weo,0,476,86a42fd94aad4926,86a42fd94aad4926:476,korean|cv|mr. waisely kor 연단음|weo|weo|0|0,Mr. WAISELY KOR 연단음 | weo.wav | weo | weo | occ=0 | row=0,587.78,770.53,mel_candidate,korean,cv,mono,mono,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.5,0.5,0.3886447353452055,0.4878504672897196,630.0,1.0,0.0,2688.43537414966,587.78,172.75,770.53,57.19,0.0,115.56,10.0,0.0,520.0,700.0,180.0,700.0,730.0,30.0,520.0,1960.0,1440.0,0.0,0.0,700.0,-112.22000000000004,-55.02999999999997,-70.52999999999997,0.4847928257842735,0.0015934069552311,1.0,0.0053835661725636,0.6563409109584921,0.0015934069552311,161.91321995464853,-36.0183384927899,-63.64089860043825,0.2424242424242424,0.640606725313523,0.0383226273229627,0.0567054153671675,0.0312259420955319,other,unknown,0.0,1.0,none,weo,head,,0.0,,cv_head,0.0,169.0,0.0,524.0,0.0,847.7,0.3746797487788935,1.0,1.0,0.0,1.0,1398.778,0.0,unknown,-36.0183384927899,-63.64089860043825,0.4847928257842735,0.2424242424242424,0.0909090909090909,0.2424242424242424,0.0,0.0,0.1651515151515151,587.78,770.53,708.390022675737,838.0952380952381,838.0952380952381,-63.42002267573696,0.0,0.0722297996479285,0.0,0.0,0.9202231372932188,0.0,0.7999999999999999,0.0,1.0,0.0,0.0,679.37,124.93,-280.27,29.93,16.33,91.59000000000005,-47.81999999999999,189.11,-27.26,16.33,20.629999999999995,50.63,20.629999999999995,manual,0.7155315158734257,0.6375757575757575,1,1,,95.4205,,C:\Users\oyh57\SODAsoo1\Devs\UTAU_Auto_OTO_v3\Auto_OTO\ml_workspace\datasets\korean\dataset_korean_cv.csv
Mr. WAISELY KOR 연단음,wi.wav,wi,wi,wi,0,479,86a42fd94aad4926,86a42fd94aad4926:479,korean|cv|mr. waisely kor 연단음|wi|wi|0|0,Mr. WAISELY KOR 연단음 | wi.wav | wi | wi | occ=0 | row=0,608.67,803.01,mel_candidate,korean,cv,mono,mono,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.5,0.5,0.4419907041497989,0.5053304904051172,1190.0,1.0,0.0,2361.904761904762,608.67,184.34,803.01,29.77,0.0,154.57,10.0,0.0,590.0,680.0,90.0,680.0,1870.0,1190.0,590.0,1870.0,1280.0,0.0,0.0,680.0,-71.33000000000004,-41.56000000000006,-123.01,0.8568035238777325,0.2782239278696427,1.0,0.2982760592278051,0.3814455763907772,0.2782239278696427,189.40455782312927,-25.44774754355047,-34.8949926191317,0.0,0.9879751349499788,0.9794012251461202,0.0280691806067479,0.0195074614089285,other,unknown,0.0,1.0,none,wi,head,,0.0,,cv_head,0.0,81.53,0.0,753.01,0.0,1024.34,0.8014880446954652,1.0,1.0,0.0,1.0,82.86699999999999,0.0,unknown,-25.44774754355047,-34.8949926191317,0.8568035238777325,0.0,0.5263157894736842,0.0,0.0,0.0,0.0,608.67,803.01,688.4353741496599,688.4353741496599,718.3673469387755,-49.99537414965994,0.0,0.4128970896749733,0.0,0.0,0.9834982945689084,0.0,0.0,0.0,0.0,0.0,0.0,605.44,208.05,-310.9,19.05,10.05,-3.2299999999999045,23.710000000000008,113.33000000000004,-10.72,10.05,74.55999999999995,1264.56,74.55999999999995,manual,0.915660827510359,0.0,0,1,,99.464,,C:\Users\oyh57\SODAsoo1\Devs\UTAU_Auto_OTO_v3\Auto_OTO\ml_workspace\datasets\korean\dataset_korean_cv.csv
