voicebank_id,wav,alias,wav_norm,alias_norm,occurrence_index,line_index,source_oto_id,source_row_id,selector_group_id,selector_rank_label,selector_is_best,selector_quality_score,selector_error_weighted,selector_error_offset,selector_error_cons,selector_error_cutoff,selector_error_pre,selector_error_ovl,language,format_type,alias_type,alias_group,candidate_mode,candidate_index,mapping_confidence,jump_blocked_flag,used_alias_based_syllables,used_nuclei_fallback,words_vs_alias_score_margin,wav_duration_ms,expected_anchor_ms,base_offset_to_expected_ms,base_pre_to_expected_ms,base_cutoff_to_next_anchor_ms,prev_phone_gap_ms,next_phone_gap_ms,energy_mean,db_silence_ratio,local_peak_db,local_valley_db,mel_window_energy_mean,mel_window_silence_ratio,coda_type,vowel_class,bridge_type,mora_position,onset_class,voicing_class,mapping_reason_code,prev_alias_type,next_alias_type,cand_offset,cand_cons,cand_cutoff_abs,cand_pre,cand_ovl,cand_pre_abs,cand_cons_gap,cand_cut_gap,cand_ovl_ratio,cand_offset_to_expected_ms,cand_pre_to_expected_ms,cand_cutoff_to_next_anchor_ms,cand_delta_from_base_total,cand_delta_from_base_anchor,cand_overlap_margin,cand_pre_cons_margin,cand_leak_risk
Anonymous VB - KO CVC,ga'gi'gu'ge'go'geu'geo'ga.wav,a g,gagigugegogeugeoga,a g,0,1,538c79fcbf28d334,538c79fcbf28d334:1,Anonymous VB - KO CVC|538c79fcbf28d334:1,6,1,-313.6135000000002,313.6135000000002,120.93000000000006,9.680000000000007,109.59000000000015,38.31999999999999,17.689999999999998,korean,cvc,vc,vc_other,base,0.0,0.8977596954091713,0.0,1.0,0.0,64.24300000000001,4756.984126984127,1520.0,-57.569999999999936,20.210000000000036,343.78999999999996,0.0,30.0,0.4691354156301743,0.0,-31.063305207008924,-39.39517447726328,0.4691354156301743,0.0,other,,vc,mid,other,unknown,unknown,cv,,1462.43,125.78,1596.21,77.78,55.78,1540.21,48.0,1470.43,0.717150938544613,-57.569999999999936,20.210000000000036,343.78999999999996,0.0,0.0,22.0,48.0,0.0
Anonymous VB - KO CVC,ga'gi'gu'ge'go'geu'geo'ga.wav,a g,gagigugegogeugeoga,a g,0,1,538c79fcbf28d334,538c79fcbf28d334:1,Anonymous VB - KO CVC|538c79fcbf28d334:1,5,0,-315.3246600000002,315.3246600000002,120.93000000000006,9.680000000000007,109.59000000000015,39.87559999999999,17.689999999999998,korean,cvc,vc,vc_other,next_safe,3.0,0.8977596954091713,0.0,1.0,0.0,64.24300000000001,4756.984126984127,1520.0,-57.569999999999936,20.210000000000036,343.78999999999996,0.0,30.0,0.4691354156301743,0.0,-31.063305207008924,-39.39517447726328,0.4691354156301743,0.0,other,,vc,mid,other,unknown,unknown,cv,,1462.43,125.78,1596.21,76.2244,55.78,1538.6544000000001,49.5556,1470.43,0.731786671984299,-57.569999999999936,18.654400000000123,343.78999999999996,1.5555999999999983,1.555599999999913,20.4444,49.5556,0.0
Anonymous VB - KO CVC,ga'gi'gu'ge'go'geu'geo'ga.wav,a g,gagigugegogeugeoga,a g,0,1,538c79fcbf28d334,538c79fcbf28d334:1,Anonymous VB - KO CVC|538c79fcbf28d334:1,4,0,-317.46350000000024,317.46350000000024,120.93000000000006,9.680000000000007,109.59000000000015,41.81999999999999,17.689999999999998,korean,cvc,vc,vc_other,anchor_soft,1.0,0.8977596954091713,0.0,1.0,0.0,64.24300000000001,4756.984126984127,1520.0,-57.569999999999936,20.210000000000036,343.78999999999996,0.0,30.0,0.4691354156301743,0.0,-31.063305207008924,-39.39517447726328,0.4691354156301743,0.0,other,,vc,mid,other,unknown,unknown,cv,,1462.43,125.78,1596.21,74.28,55.78,1536.71,51.5,1470.43,0.750942380183091,-57.569999999999936,16.710000000000036,343.78999999999996,3.5,3.5,18.5,51.5,0.0
Anonymous VB - KO CVC,ga'gi'gu'ge'go'geu'geo'ga.wav,a g,gagigugegogeugeoga,a g,0,1,538c79fcbf28d334,538c79fcbf28d334:1,Anonymous VB - KO CVC|538c79fcbf28d334:1,3,0,-318.5635000000002,318.5635000000002,120.93000000000006,9.680000000000007,109.59000000000015,38.31999999999999,28.689999999999998,korean,cvc,vc,vc_other,bridge_tight,4.0,0.8977596954091713,0.0,1.0,0.0,64.24300000000001,4756.984126984127,1520.0,-57.569999999999936,20.210000000000036,343.78999999999996,0.0,30.0,0.4691354156301743,0.0,-31.063305207008924,-39.39517447726328,0.4691354156301743,0.0,other,,vc,mid,other,unknown,unknown,cv,,1462.43,125.78,1596.21,77.78,66.78,1540.21,48.0,1470.43,0.8585754692723065,-57.569999999999936,20.210000000000036,343.78999999999996,11.0,0.0,11.0,48.0,0.0
Anonymous VB - KO CVC,ga'gi'gu'ge'go'geu'geo'ga.wav,a g,gagigugegogeugeoga,a g,0,1,538c79fcbf28d334,538c79fcbf28d334:1,Anonymous VB - KO CVC|538c79fcbf28d334:1,2,0,-319.0135000000002,319.0135000000002,120.93000000000006,9.680000000000007,109.59000000000015,38.31999999999999,29.689999999999998,korean,cvc,vc,vc_other,kr_cvc_tail_hold,5.0,0.8977596954091713,0.0,1.0,0.0,64.24300000000001,4756.984126984127,1520.0,-57.569999999999936,20.210000000000036,343.78999999999996,0.0,30.0,0.4691354156301743,0.0,-31.063305207008924,-39.39517447726328,0.4691354156301743,0.0,other,,vc,mid,other,unknown,unknown,cv,,1462.43,125.78,1596.21,77.78,67.78,1540.21,48.0,1470.43,0.871432244793006,-57.569999999999936,20.210000000000036,343.78999999999996,12.0,0.0,10.0,48.0,0.0
Anonymous VB - KO CVC,ga'gi'gu'ge'go'geu'geo'ga.wav,a g,gagigugegogeugeoga,a g,0,1,538c79fcbf28d334,538c79fcbf28d334:1,Anonymous VB - KO CVC|538c79fcbf28d334:1,1,0,-323.61745000000025,323.61745000000025,120.93000000000006,9.680000000000007,109.59000000000015,47.414500000000004,17.689999999999998,korean,cvc,vc,vc_other,anchor_tight,2.0,0.8977596954091713,0.0,1.0,0.0,64.24300000000001,4756.984126984127,1520.0,-57.569999999999936,20.210000000000036,343.78999999999996,0.0,30.0,0.4691354156301743,0.0,-31.063305207008924,-39.39517447726328,0.4691354156301743,0.0,other,,vc,mid,other,unknown,unknown,cv,,1462.43,125.78,1596.21,68.68549999999999,55.78,1531.1155,57.09450000000001,1470.43,0.8121073589039901,-57.569999999999936,11.115500000000111,343.78999999999996,9.09450000000001,9.094499999999925,12.90549999999999,57.09450000000001,0.0
Anonymous VB - KO CVC,ga'gi'gu'ge'go'geu'geo'ga.wav,i g,gagigugegogeugeoga,i g,0,3,538c79fcbf28d334,538c79fcbf28d334:3,Anonymous VB - KO CVC|538c79fcbf28d334:3,6,1,-337.39800000000014,337.39800000000014,130.22000000000003,26.799999999999997,141.43000000000006,15.760000000000005,0.3299999999999983,korean,cvc,vc,vc_other,base,0.0,0.9086965125234518,0.0,1.0,0.0,46.426,4756.984126984127,1990.0,-35.74000000000001,42.82999999999993,351.1700000000001,0.0,30.0,0.608888202157593,0.0,-27.70733431080645,-28.497628385515746,0.608888202157593,0.0,other,,vc,mid,other,unknown,unknown,cv,,1954.26,126.57,2088.83,78.57,56.57,2032.83,48.0,1962.26,0.7199949089983455,-35.74000000000001,42.82999999999993,351.1700000000001,0.0,0.0,21.999999999999993,48.0,0.0
Anonymous VB - KO CVC,ga'gi'gu'ge'go'geu'geo'ga.wav,i g,gagigugegogeugeoga,i g,0,3,538c79fcbf28d334,538c79fcbf28d334:3,Anonymous VB - KO CVC|538c79fcbf28d334:3,5,0,-339.12654000000015,339.12654000000015,130.22000000000003,26.799999999999997,141.43000000000006,17.331400000000002,0.3299999999999983,korean,cvc,vc,vc_other,next_safe,3.0,0.9086965125234518,0.0,1.0,0.0,46.426,4756.984126984127,1990.0,-35.74000000000001,42.82999999999993,351.1700000000001,0.0,30.0,0.608888202157593,0.0,-27.70733431080645,-28.497628385515746,0.608888202157593,0.0,other,,vc,mid,other,unknown,unknown,cv,,1954.26,126.57,2088.83,76.9986,56.57,2031.2586,49.5714,1962.26,0.7346886826513729,-35.74000000000001,41.25859999999989,351.1700000000001,1.571399999999997,1.5714000000000397,20.428599999999996,49.5714,0.0
Anonymous VB - KO CVC,ga'gi'gu'ge'go'geu'geo'ga.wav,i g,gagigugegogeugeoga,i g,0,3,538c79fcbf28d334,538c79fcbf28d334:3,Anonymous VB - KO CVC|538c79fcbf28d334:3,4,0,-341.24800000000016,341.24800000000016,130.22000000000003,26.799999999999997,141.43000000000006,19.260000000000005,0.3299999999999983,korean,cvc,vc,vc_other,anchor_soft,1.0,0.9086965125234518,0.0,1.0,0.0,46.426,4756.984126984127,1990.0,-35.74000000000001,42.82999999999993,351.1700000000001,0.0,30.0,0.608888202157593,0.0,-27.70733431080645,-28.497628385515746,0.608888202157593,0.0,other,,vc,mid,other,unknown,unknown,cv,,1954.26,126.57,2088.83,75.07,56.57,2029.33,51.5,1962.26,0.7535633408818437,-35.74000000000001,39.32999999999993,351.1700000000001,3.5,3.5,18.499999999999993,51.5,0.0
Anonymous VB - KO CVC,ga'gi'gu'ge'go'geu'geo'ga.wav,i g,gagigugegogeugeoga,i g,0,3,538c79fcbf28d334,538c79fcbf28d334:3,Anonymous VB - KO CVC|538c79fcbf28d334:3,3,0,-342.3480000000001,342.3480000000001,130.22000000000003,26.799999999999997,141.43000000000006,15.760000000000005,11.329999999999991,korean,cvc,vc,vc_other,bridge_tight,4.0,0.9086965125234518,0.0,1.0,0.0,46.426,4756.984126984127,1990.0,-35.74000000000001,42.82999999999993,351.1700000000001,0.0,30.0,0.608888202157593,0.0,-27.70733431080645,-28.497628385515746,0.608888202157593,0.0,other,,vc,mid,other,unknown,unknown,cv,,1954.26,126.57,2088.83,78.57,67.57,2032.83,48.0,1962.26,0.8599974544991728,-35.74000000000001,42.82999999999993,351.1700000000001,10.999999999999993,0.0,11.0,48.0,0.0
